2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#ff0000", "docked": true, "event": "LegacyOverlay", "fill": "#5B260801", "h": 66, "id": "EDR-warning-legal-344-30-56-66-shape", "raw": {"color": "#ff0000", "event": "LegacyOverlay", "fill": "#5B260801", "h": 66, "id": "EDR-warning-legal-344-30-56-66-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.826849+00:00", "ttl": 20, "type": "shape", "w": 56, "x": 344, "y": 30}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.826849+00:00", "ttl": 20, "type": "shape", "w": 56, "x": 344, "y": 30}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#ff0000", "docked": true, "event": "LegacyOverlay", "id": "EDR-warning-0", "raw": {"color": "#ff0000", "event": "LegacyOverlay", "id": "EDR-warning-0", "size": "large", "text": "[Caution!] Intel about ShagohodRed", "timestamp": "2025-11-16T21:05:03.827613+00:00", "ttl": 21, "type": "message", "x": 342, "y": 0}, "size": "large", "station": "Exogene Sciences", "system": "HIP 87621", "text": "[Caution!] Intel about ShagohodRed", "timestamp": "2025-11-16T21:05:03.827613+00:00", "ttl": 21, "type": "message", "x": 342, "y": 0}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "EDR-warning-30.0", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "EDR-warning-30.0", "size": "normal", "text": "✪EDR ≈ Outlaw+++", "timestamp": "2025-11-16T21:05:03.829981+00:00", "ttl": 20, "type": "message", "x": 410, "y": 30}, "size": "normal", "station": "Exogene Sciences", "system": "HIP 87621", "text": "✪EDR ≈ Outlaw+++", "timestamp": "2025-11-16T21:05:03.829981+00:00", "ttl": 20, "type": "message", "x": 410, "y": 30}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "EDR-warning-48.0", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "EDR-warning-48.0", "size": "normal", "text": "[Past 90 days] clean:4 / wanted:3, max=24 m cr, last: 24 m cr in HIP 87621 -1d", "timestamp": "2025-11-16T21:05:03.830425+00:00", "ttl": 20, "type": "message", "x": 410, "y": 48}, "size": "normal", "station": "Exogene Sciences", "system": "HIP 87621", "text": "[Past 90 days] clean:4 / wanted:3, max=24 m cr, last: 24 m cr in HIP 87621 -1d", "timestamp": "2025-11-16T21:05:03.830425+00:00", "ttl": 20, "type": "message", "x": 410, "y": 48}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "EDR-warning-66.0", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "EDR-warning-66.0", "size": "normal", "text": "Signal: system comms", "timestamp": "2025-11-16T21:05:03.830977+00:00", "ttl": 20, "type": "message", "x": 410, "y": 66}, "size": "normal", "station": "Exogene Sciences", "system": "HIP 87621", "text": "Signal: system comms", "timestamp": "2025-11-16T21:05:03.830977+00:00", "ttl": 20, "type": "message", "x": 410, "y": 66}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-348-49-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-348-49-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.831359+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 348, "y": 49}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.831359+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 348, "y": 49}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-348-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-348-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.831684+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 348, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.831684+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 348, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-348-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-348-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.831995+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 348, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.831995+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 348, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-352-49-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-352-49-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.832417+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 352, "y": 49}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.832417+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 352, "y": 49}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-352-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-352-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.832544+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 352, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.832544+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 352, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-352-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-352-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.832654+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 352, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.832654+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 352, "y": 91}
